feature,f_score,p_value
tqwt_TKEO_mean_dec_27,7.899693461598335,0.005105438175709975
std_MFCC_3rd_coef,7.826232378618273,0.0053142977459928005
tqwt_TKEO_std_dec_27,7.7169181368740185,0.005641392036328534
tqwt_energy_dec_22,7.534151529370543,0.006235002533261395
tqwt_energy_dec_17,7.523269748817749,0.006272300296938254
det_LT_entropy_log_8_coef,7.495486144546765,0.0063685693372979866
IMF_NSR_entropy,7.254025646165777,0.007271668573658101
tqwt_TKEO_std_dec_33,7.206344507077078,0.007464986500005921
tqwt_stdValue_dec_24,7.158322327005223,0.007665016139588513
tqwt_TKEO_mean_dec_24,7.088569892323592,0.00796539732487582
tqwt_TKEO_mean_dec_5,7.053140742832857,0.008122566392168054
mean_2nd_delta,6.882235450154429,0.008926652142713936
tqwt_TKEO_mean_dec_33,6.821558036781302,0.009231412706798977
PPE,6.780679415463178,0.009442738082588524
tqwt_TKEO_std_dec_5,6.760724051005817,0.009547697831993817
tqwt_TKEO_mean_dec_18,6.721562696199552,0.0097571744361824
tqwt_entropy_log_dec_24,6.581775068606663,0.010544229437708193
tqwt_entropy_log_dec_32,6.532410999923491,0.010837521277193412
tqwt_TKEO_std_dec_17,6.323102102213124,0.01217747458296485
tqwt_entropy_log_dec_21,6.2747829789320635,0.012510352699011927
tqwt_TKEO_std_dec_26,6.255928253061753,0.01264277615998372
tqwt_TKEO_mean_dec_31,6.20342256835196,0.013019208659417886
GNE_NSR_TKEO,6.182915703159992,0.01316935021239657
det_entropy_log_5_coef,6.011285074202326,0.01449814655238348
tqwt_minValue_dec_4,5.972880619534045,0.014813978862457442
tqwt_skewnessValue_dec_28,5.965791197158943,0.014873053568978565
det_entropy_log_4_coef,5.921348788304556,0.015248968157120757
tqwt_TKEO_std_dec_35,5.877071978614729,0.015633249286687006
tqwt_meanValue_dec_34,5.732800789996943,0.016956308444597137
det_LT_entropy_shannon_3_coef,5.720939528944077,0.017070112216686723
det_LT_entropy_log_10_coef,5.6150778890661455,0.018121498062252404
tqwt_TKEO_std_dec_1,5.5202439234951,0.01912029392942441
tqwt_maxValue_dec_32,5.434408302293045,0.020073511124638614
tqwt_minValue_dec_32,5.423446210247168,0.020198747353506276
mean_MFCC_6th_coef,5.40665362751369,0.020392167778234584
tqwt_maxValue_dec_29,5.233013331267866,0.022508642313710796
tqwt_maxValue_dec_4,5.2145532888338835,0.022746689878739356
det_LT_entropy_shannon_2_coef,5.062951282195519,0.024803476507910278
tqwt_minValue_dec_24,5.043985684033986,0.025074075657675866
tqwt_entropy_shannon_dec_23,5.042218520079157,0.02509944540852034
stdDevPeriodPulses,4.870435609718878,0.02769786210380976
tqwt_skewnessValue_dec_24,4.763139923806364,0.029461852998584524
tqwt_stdValue_dec_20,4.7317711901803055,0.029999438710549914
mean_1st_delta,4.697942208430038,0.030590690074074948
tqwt_TKEO_mean_dec_32,4.689360485790044,0.030742606791278576
tqwt_stdValue_dec_22,4.6683879978131495,0.031117198039233886
tqwt_minValue_dec_29,4.565064894710522,0.03303363726627269
tqwt_maxValue_dec_36,4.543891801123472,0.03344138763749084
tqwt_maxValue_dec_24,4.523805416151715,0.033833085140347344
tqwt_kurtosisValue_dec_5,4.488964775641937,0.03452394389954743
tqwt_energy_dec_20,4.462940633385419,0.035049618937009766
mean_MFCC_4th_coef,4.441801533600027,0.035482794778538974
